num,setup,punch,text,humor,type,connector,typeall,connectorall,nopair
8,"Если резистор бесполезен,",попробуйте впаять туда конденсатор.,"Если резистор бесполезен, попробуйте впаять туда конденсатор.",0,,,GP, setup,
9,— Вам что-нибудь принести?,— Не могли бы вы принести мне прибыль?,— Вам что-нибудь принести? — Не могли бы вы принести мне прибыль?,1,GP, setup,GP, setup,
9,— Вам что-нибудь принести?,— Не могли бы вы принести мне пирожное?,— Вам что-нибудь принести? — Не могли бы вы принести мне пирожное?,0,,,GP, setup,
10,У сада камней один недостаток —,цветет редко.,У сада камней один недостаток — цветет редко.,1,RL,,RL,,
10,У сада кактусов один недостаток —,цветет редко.,У сада кактусов один недостаток — цветет редко.,0,,,RL,,
11,"Чтобы книги о бизнесе точно принесли прибыль,",продайте их.,"Чтобы книги о бизнесе точно принесли прибыль, продайте их.",1,RL,,RL,,
11,"Чтобы книги о бизнесе принесли прибыль,",внимательно прочитайте их.,"Чтобы книги о бизнесе принесли прибыль, внимательно прочитайте их.",0,,,RL,,
12,Плохо оплачиваемый труд превращает ,человека в обезьяну.,Плохо оплачиваемый труд превращает человека в обезьяну.,1,RL,,RL,,
13,"Это миф,",что труд превращает обезьяну в человека.,"Это миф, что труд превращает обезьяну в человека.",0,,,RL,,
14,"Чтобы не попадать в ДТП,",депутаты Госдумы решили проголосовать за отмену третьего закона Ньютона.,"Чтобы не попадать в ДТП, депутаты Госдумы решили проголосовать за отмену третьего закона Ньютона.",1,RL,,RL,,nopair
15,"Слоган для тату-салона — и хочется,",и колется.,"Слоган для тату-салона — и хочется, и колется.",1,RL,,RL,,
15,"Слоган для тату-салона — и хочется,",и красиво.,"Слоган для тату-салона — и хочется, и красиво.",0,,,RL,,
16,В городе открыто новое месторождение —,роддом.,В городе открыто новое месторождение — роддом.,1,GP, setup,GP, setup,
17,Наши ветви власти ведут,себя как сучья.,Наши ветви власти ведут себя как сучья.,1,RL,,RL,,
17,Наши ветви власти ведут,себя как суки.,Наши ветви власти ведут себя как суки.,0,,,RL,,
18,"Легче всего сносить обиды,",когда ты управляешь бульдозером.,"Легче всего сносить обиды, когда ты управляешь бульдозером.",1,GP, setup,GP, setup,
18,"Легче всего сносить обиды,",когда ты управляешь эмоциями.,"Легче всего сносить обиды, когда ты управляешь эмоциями.",0,,,GP, setup,
19,"Одни россияне живут на Рублёвке, а другие –",на копейки.,"Одни россияне живут на Рублёвке, а другие – на копейки.",1,RL,,RL,,
19,"Одни россияне живут на Рублёвке, а другие –",на Таганке.,"Одни россияне живут на Рублёвке, а другие – на Таганке.",0,,,RL,,
20,"Сторож завода по производству шампуня Сидоров с пеной у рта доказывал,",что он не ворует.,"Сторож завода по производству шампуня Сидоров с пеной у рта доказывал, что он не ворует.",1,RL,,RL,,
20,"Сторож завода по производству телефонов Сидоров с пеной у рта доказывал,",что он не ворует.,"Сторож завода по производству телефонов Сидоров с пеной у рта доказывал, что он не ворует.",0,,,RL,,
20,"Сторож завода по производству шампуня Сидоров остервенело доказывал,",что он не ворует.,"Сторож завода по производству шампуня Сидоров остервенело доказывал, что он не ворует.",0,,,RL,,
21,Бабушка с дедушкой нашли у Колобка под подушкой,журналы с булочками.,Бабушка с дедушкой нашли у Колобка под подушкой журналы с булочками.,1,C,,C,,
21,Бабушка с дедушкой нашли у внука под подушкой,журналы с девушками.,Бабушка с дедушкой нашли у внука под подушкой журналы с девушками.,0,,,C,,
21,Бабушка с дедушкой нашли у Колобка под подушкой,журналы с девушками.,Бабушка с дедушкой нашли у Колобка под подушкой журналы с девушками.,0,,,C,,
22,Учитель просит Вовочку привести два примера местоимений. Вовочка отвечает: «Кто?,Я?»,Учитель просит Вовочку привести два примера местоимений. Вовочка отвечает: «Кто? Я?»,1,RL,,RL,,
22,Учитель просит Вовочку привести два примера местоимений. Вовочка отвечает: «А?,Не понял?»,Учитель просит Вовочку привести два примера местоимений. Вовочка отвечает: «А? Не понял?»,0,,,RL,,
23,"В доме где есть дети,",идеально чисто может быть только в вазочке с конфетами.,"В доме где есть дети, идеально чисто может быть только в вазочке с конфетами.",1,GP, setup,GP, setup,
23,"В доме где есть дети, идеально чисто может быть везде,",где родители убираются.,"В доме где есть дети, идеально чисто может быть везде, где родители убираются.",0,,,GP, setup,
24,Мальчик Петя попал трудовику молотком по пальцам и получил пять.,"По крайней мере, так ему послышалось.","Мальчик Петя попал трудовику молотком по пальцам и получил пять. По крайней мере, так ему послышалось.",1,C,,C,,
24,Мальчик Петя попал трудовику молотком по пальцам и получил кол.,"По крайней мере, так ему послышалось.","Мальчик Петя попал трудовику молотком по пальцам и получил кол. По крайней мере, так ему послышалось.",0,,,C,,
25,"Что делать, если хочу прийти в себя,",но я закрытый человек?,"Что делать, если хочу прийти в себя, но я закрытый человек?",1,GP, setup,GP, setup,
25,"Что делать, если хочу знакомиться с людьми,",но я закрытый человек?,"Что делать, если хочу знакомиться с людьми, но я закрытый человек?",0,,,GP, setup,
25,"Что делать, если хочу прийти в себя,",но я темпераментный человек?,"Что делать, если хочу прийти в себя, но я темпераментный человек?",0,,,GP, setup,
26,"Хочешь выглядеть профессионалом — просто всегда говори «Это же было предсказуемо», сразу после того,",как это произошло.,"Хочешь выглядеть профессионалом — просто всегда говори «Это же было предсказуемо», сразу после того, как это произошло.",1,RL,,RL,,
27,Год назад я хотела сбросить 6 кг.,"Чтобы добиться этой цели, мне остается еще 9.","Год назад я хотела сбросить 6 кг. Чтобы добиться этой цели, мне остается еще 9.",1,GP, setup,GP, setup,
27,Год назад я хотела сбросить 6 кг.,"Чтобы добиться этой цели, мне остается еще 3.","Год назад я хотела сбросить 6 кг. Чтобы добиться этой цели, мне остается еще 3.",0,,,GP, setup,
28,"Прежде чем согласиться потуже затянуть пояса, необходимо убедиться,",что затягивать будут не на шее.,"Прежде чем согласиться потуже затянуть пояса, необходимо убедиться, что затягивать будут не на шее.",1,GP, setup,GP, setup,
29,"Сказать по правде, бизнес на воздушных шариках —",это чистой воды надувательство…,"Сказать по правде, бизнес на воздушных шариках — это чистой воды надувательство…",1,RL,,RL,,
29,"Сказать по правде, бизнес на шариковых ручках —",это чистой воды надувательство…,"Сказать по правде, бизнес на шариковых ручках — это чистой воды надувательство…",0,,,RL,,
29,"Сказать по правде, бизнес на воздушных шариках —",это чистой воды обман…,"Сказать по правде, бизнес на воздушных шариках — это чистой воды обман…",0,,,RL,,
30,"Неправда, что социальный лифт не работает. ","Он работает, просто тех, кто в нём справляет нужду и поджигает кнопки, выше цокольного этажа не поднимает.","Неправда, что социальный лифт не работает. Он работает, просто тех, кто в нём справляет нужду и поджигает кнопки, выше цокольного этажа не поднимает.",1,RL,,RL,,
30,"Неправда, что пассажирский лифт не работает. ","Он работает, просто тех, кто в нём справляет нужду и поджигает кнопки, выше цокольного этажа не поднимает.","Неправда, что пассажирский лифт не работает. Он работает, просто тех, кто в нём справляет нужду и поджигает кнопки, выше цокольного этажа не поднимает.",0,,,RL,,
31,"- Ты же говорил мне, что умеешь играть в покер! ",- Я блефовал.,"- Ты же говорил мне, что умеешь играть в покер! - Я блефовал.",1,RL,,RL,,
31,"- Ты же говорил мне, что умеешь играть в покер! ",- Я врал.,"- Ты же говорил мне, что умеешь играть в покер! - Я врал.",0,,,RL,,
32,Правительство не поддерживает добрая половина населения.,А уж что говорить о злой.,Правительство не поддерживает добрая половина населения. А уж что говорить о злой.,1,GP, setup,GP, setup,nopair
33,"Однажды колобок уехал в командировку, а его булочка изменила ему с коржиком, и теперь он не колобок,",а рогалик.,"Однажды колобок уехал в командировку, а его булочка изменила ему с коржиком, и теперь он не колобок, а рогалик.",1,C,,C,,
33,"Однажды колобок уехал в командировку, а его булочка изменила ему с коржиком, и теперь он не колобок,",а дурачок.,"Однажды колобок уехал в командировку, а его булочка изменила ему с коржиком, и теперь он не колобок, а дурачок.",0,,,C,,
34,"Поддался на спам, заказал средство для увеличения пениса всего за 50 долларов. ",Так эти суки прислали мне лупу!,"Поддался на спам, заказал средство для увеличения пениса всего за 50 долларов. Так эти суки прислали мне лупу!",1,GP, setup,GP, setup,
34,"Поддался на спам, заказал средство для увеличения пениса всего за 50 долларов. ",Так эти суки прислали мне крем!,"Поддался на спам, заказал средство для увеличения пениса всего за 50 долларов. Так эти суки прислали мне крем!",0,,,GP, setup,
35,Суровые челябинские полицейские задержали дерево.,"По их словам, у дерева был ствол.","Суровые челябинские полицейские задержали дерево. По их словам, у дерева был ствол.",1,C,,C,,
35,Суровые челябинские полицейские задержали бандита.,"По их словам, у бандита был ствол.","Суровые челябинские полицейские задержали бандита. По их словам, у бандита был ствол.",0,,,C,,
35,Суровые челябинские полицейские задержали дерево.,"По их словам, у дерева был пистолет.","Суровые челябинские полицейские задержали дерево. По их словам, у дерева был пистолет.",0,,,C,,
36,"Едет мужик по деревне, развозит навоз. Сгружает в одном из дворов. Хозяйка, оценивая качество сырья, восхищаясь: — Какой хороший у тебя однако навоз! ",Мужик: — Говна не возим!,"Едет мужик по деревне, развозит навоз. Сгружает в одном из дворов. Хозяйка, оценивая качество сырья, восхищаясь: — Какой хороший у тебя однако навоз! Мужик: — Говна не возим!",1,RL,,RL,,
36,"Едет мужик по деревне, развозит навоз. Сгружает в одном из дворов. Хозяйка, оценивая качество сырья, восхищаясь: — Какой хороший у тебя однако навоз! ",Мужик: — Только хорошее возим!,"Едет мужик по деревне, развозит навоз. Сгружает в одном из дворов. Хозяйка, оценивая качество сырья, восхищаясь: — Какой хороший у тебя однако навоз! Мужик: — Только хорошее возим!",0,,,RL,,
37,Во время ссоры жена внезапно,применила слезоточивый глаз.,Во время ссоры жена внезапно применила слезоточивый глаз.,1,RL,,RL,,
37,Во время ссоры жена внезапно,применила слезоточивый газ.,Во время ссоры жена внезапно применила слезоточивый газ.,0,,,RL,,
38,"Библиотекарша чихнула,",и её сопля попала в книгу рекордов Гиннеса.,"Библиотекарша чихнула, и её сопля попала в книгу рекордов Гиннеса.",1,RL,,RL,,
38,"Библиотекарша побила рекорд,",и он попал в книгу рекордов Гиннеса.,"Библиотекарша побила рекорд, и он попал в книгу рекордов Гиннеса.",0,,,RL,,
39,"— Привет, Света, я самый счастливый человек. Можно я на тебя залезу? — Залазь. ","— Ну вот, теперь я самый счастливый человек на Свете.","— Привет, Света, я самый счастливый человек. Можно я на тебя залезу? — Залазь. — Ну вот, теперь я самый счастливый человек на Свете.",1,RL,,RL,,
39,"— Привет, Маша, я самый счастливый человек. Можно я на тебя залезу? — Залазь. ","— Ну вот, теперь я самый счастливый человек на Маше.","— Привет, Маша, я самый счастливый человек. Можно я на тебя залезу? — Залазь. — Ну вот, теперь я самый счастливый человек на Маше.",0,,,RL,,
40,Аня вышла замуж за механика,и родила шестерню.,Аня вышла замуж за механика и родила шестерню.,1,RL,,RL,,
40,Аня вышла замуж за олигарха,и родила шестерню.,Аня вышла замуж за олигарха и родила шестерню.,0,,,RL,,
40,Аня вышла замуж за механика,и родила тройню.,Аня вышла замуж за механика и родила тройню.,0,,,RL,,
41,"Старший брат сказал младшему, что качели на морозе очень вкусные —",невозможно оторваться.,"Старший брат сказал младшему, что качели на морозе очень вкусные — невозможно оторваться.",1,C,,C,,
41,"Старший брат сказал младшему, что на морозе язык прилипает к качелям —",невозможно оторваться.,"Старший брат сказал младшему, что на морозе язык прилипает к качелям — невозможно оторваться.",0,,,C,,
42,"Пришел в тату салон и долго не мог решить, какую татуировку хочу. ",В итоге набили ебало.,"Пришел в тату салон и долго не мог решить, какую татуировку хочу. В итоге набили ебало.",1,RL,,RL,,
42,"Пришел в тату салон и долго не мог решить, какую татуировку хочу. ",В итоге набили рукав.,"Пришел в тату салон и долго не мог решить, какую татуировку хочу. В итоге набили рукав.",0,,,RL,,
43,"Электрик, работающий в очень плохих условиях, сказал «как-нибудь протяну»",.,"Электрик, работающий в очень плохих условиях, сказал «как-нибудь протяну».",1,RL,,RL,,
44,"Менеджер, работающий в очень плохих условиях, сказал «как-нибудь протяну»",.,"Менеджер, работающий в очень плохих условиях, сказал «как-нибудь протяну».",0,,,RL,,
45,"Электрик, работающий в очень плохих условиях, сказал «как-нибудь проживу»",.,"Электрик, работающий в очень плохих условиях, сказал «как-нибудь проживу».",0,,,RL,,
46,А почему на часы именно эти 12 чисел попали?,"Это что, какой-то циферблат?","А почему на часы именно эти 12 чисел попали? Это что, какой-то циферблат?",1,C,,C,,
46,А почему на часы именно эти 12 чисел попали?,"Это что, какой-то заговор?","А почему на часы именно эти 12 чисел попали? Это что, какой-то заговор?",0,,,C,,
47,Твоя одежда крайне безвкусна.,Ты не умеешь ее готовить.,Твоя одежда крайне безвкусна. Ты не умеешь ее готовить.,1,GP, setup,GP, setup,
47,Твоя одежда крайне безвкусна.,Ты не умеешь ее подбирать.,Твоя одежда крайне безвкусна. Ты не умеешь ее подбирать.,0,,,GP, setup,
48,Как называется момент когда глаз дергается?,Дискотека века.,Как называется момент когда глаз дергается? Дискотека века.,1,C,,C,,
48,Как называется момент когда глаз дергается?,Нервный тик.,Как называется момент когда глаз дергается? Нервный тик.,0,,,C,,
49,Почему заболевшему алкоголику не сбивают температуру?,Потому что градус понижать нельзя.,Почему заболевшему алкоголику не сбивают температуру? Потому что градус понижать нельзя.,1,C,,C,,
49,Почему алкоголику не наливают пиво после водки?,Потому что градус понижать нельзя.,Почему алкоголику не наливают пиво после водки? Потому что градус понижать нельзя.,0,,,C,,
49,Почему заболевшему алкоголику не сбивают температуру?,Потому что температуру 37 нельзя.,Почему заболевшему алкоголику не сбивают температуру? Потому что температуру 37 нельзя.,0,,,C,,
50,Сотрудник орнитариума весь день на,работе считал ворон.,Сотрудник орнитариума весь день на работе считал ворон.,1,RL,,RL,,
50,Сотрудник магазина весь день на,работе считал ворон.,Сотрудник магазина весь день на работе считал ворон.,0,,,RL,,
51,Что сказали поляки Ивану Сусанину? «Проведи нас».,И он их провел.,Что сказали поляки Ивану Сусанину? «Проведи нас». И он их провел.,1,C,,C,,
51,Что сказали поляки Ивану Сусанину? «Отведи нас».,И он их не отвёл.,Что сказали поляки Ивану Сусанину? «Отведи нас». И он их не отвёл.,0,,,C,,
52,Моя девушка ушла от меня. Может я достал её тупыми каламбурами?,"Уж не знаю на что она разозлилась, но разозлилась она не на шутку.","Моя девушка ушла от меня. Может я достал её тупыми каламбурами? Уж не знаю на что она разозлилась, но разозлилась она не на шутку.",1,RL,,RL,,
52,Моя девушка ушла от меня. Может я достал её тупыми каламбурами?,"Уж не знаю на что она разозлилась, но разозлилась она не на шутки.","Моя девушка ушла от меня. Может я достал её тупыми каламбурами? Уж не знаю на что она разозлилась, но разозлилась она не на шутки.",0,,,RL,,
53,"Купил щенка,",он ведет себя как сукин сын.,"Купил щенка, он ведет себя как сукин сын.",1,RL,,RL,,
53,"Купил щенка,",он ведет себя как последняя дрянь.,"Купил щенка, он ведет себя как последняя дрянь.",0,,,RL,,
54,Участвовал в осаде крепости.,Очень захватывающе.,Участвовал в осаде крепости. Очень захватывающе.,1,RL,,RL,,
54,Участвовал в осаде крепости.,Очень впечатляюще.,Участвовал в осаде крепости. Очень впечатляюще.,0,,,RL,,
55,"Решил пойти на стоматолога, но вскоре понял,",что мне это не по зубам.,"Решил пойти на стоматолога, но вскоре понял, что мне это не по зубам.",1,RL,,RL,,
55,"Решил пойти на стоматолога, но вскоре понял,",что мне это не по силам.,"Решил пойти на стоматолога, но вскоре понял, что мне это не по силам.",0,,,RL,,
55,"Решил пойти на стоматолога, но вскоре понял,",что мне это не по плечу.,"Решил пойти на стоматолога, но вскоре понял, что мне это не по плечу.",0,,,RL,,
56,Каратисты всегда рады организовать,гостям хороший прием.,Каратисты всегда рады организовать гостям хороший прием.,1,RL,,RL,,
56,Каратисты всегда рады показать,зрителям хороший прием.,Каратисты всегда рады показать зрителям хороший прием.,0,,,RL,,
57,Хозяева всегда рады организовать,гостям хороший прием.,Хозяева всегда рады организовать гостям хороший прием.,0,,,RL,,
58,"Раньше я работал ныряльщиком, а потом уволился. ",Не выдержал давления.,"Раньше я работал ныряльщиком, а потом уволился. Не выдержал давления.",1,RL,,RL,,
58,"Раньше я работал ныряльщиком, а потом уволился. ",Не выдержал ответственности.,"Раньше я работал ныряльщиком, а потом уволился. Не выдержал ответственности.",0,,,RL,,
58,"Раньше я работал ныряльщиком, а потом уволился. ",Не выдержал напряжения.,"Раньше я работал ныряльщиком, а потом уволился. Не выдержал напряжения.",0,,,RL,,
59,Почему не стоит бить кассиршу?,Она может дать сдачи.,Почему не стоит бить кассиршу? Она может дать сдачи.,1,RL,,RL,,
59,Почему не стоит бить кассиршу?,Тебя может арестовать полиция.,Почему не стоит бить кассиршу? Тебя может арестовать полиция.,0,,,RL,,
59,Почему не стоит бить дзюдоистку?,Она может дать сдачи.,Почему не стоит бить дзюдоистку? Она может дать сдачи.,0,,,RL,,
59,Почему не стоит бить боксёршу?,Она может дать сдачи.,Почему не стоит бить боксёршу? Она может дать сдачи.,0,,,RL,,
60,Больной,анорексией может поправиться.,Больной анорексией может поправиться.,1,RL,,RL,,
60,Больной,анорексией может вылечиться.,Больной анорексией может вылечиться.,0,,,RL,,
60,Больной,анорексией может выздороветь.,Больной анорексией может выздороветь.,0,,,RL,,
60,Больной,анорексией может выжить.,Больной анорексией может выжить.,0,,,RL,,
61,"Электрик решил устроиться в ритуальное агентство,",ведь он эксперт по проводам.,"Электрик решил устроиться в ритуальное агентство, ведь он эксперт по проводам.",1,RL,,RL,,
61,"Электрик решил устроиться в ритуальное агентство,",ведь он эксперт по розеткам.,"Электрик решил устроиться в ритуальное агентство, ведь он эксперт по розеткам.",0,,,RL,,
62,"Крупные хищники в зоопарке голодают,",потому что львиная доля еды уходит слонам.,"Крупные хищники в зоопарке голодают, потому что львиная доля еды уходит слонам.",1,RL,,RL,,
62,"Крупные хищники в зоопарке голодают,",потому что значительная доля еды уходит слонам.,"Крупные хищники в зоопарке голодают, потому что значительная доля еды уходит слонам.",0,,,RL,,
63,"Отмычка — приспособление,",имеющее для вора ключевое значение.,"Отмычка — приспособление, имеющее для вора ключевое значение.",1,RL,,RL,,
63,"Отмычка — приспособление,",имеющее для вора важнейшее значение.,"Отмычка — приспособление, имеющее для вора важнейшее значение.",0,,,RL,,
64,Почему высокий электрик не пошёл за стремянкой?,Ему было до лампочки.,Почему высокий электрик не пошёл за стремянкой? Ему было до лампочки.,1,RL,,RL,,
64,Почему высокий электрик не пошёл за стремянкой?,Он и так дотягивался.,Почему высокий электрик не пошёл за стремянкой? Он и так дотягивался.,0,,,RL,,
65,Грабитель ворвался с водным пистолетом,и замочил всех.,Грабитель ворвался с водным пистолетом и замочил всех.,1,RL,,RL,,
65,Грабитель ворвался с пневматическим пистолетом,и расстрелял всех.,Грабитель ворвался с пневматическим пистолетом и расстрелял всех.,0,,,RL,,
66,Шерстяные носки —,это навязанные бабушкой ценности.,Шерстяные носки — это навязанные бабушкой ценности.,1,RL,,RL,,
66,Шерстяные носки —,это подаренные бабушкой ценности.,Шерстяные носки — это подаренные бабушкой ценности.,0,,,RL,,
66,Шерстяные носки —,это связанные бабушкой ценности.,Шерстяные носки — это связанные бабушкой ценности.,0,,,RL,,
67,"В Средневековье самой крутой ведьмой считалась та,",которая не спалилась.,"В Средневековье самой крутой ведьмой считалась та, которая не спалилась.",1,RL,,RL,,
67,"В Средневековье самой крутой ведьмой считалась та,",которая не выдала себя.,"В Средневековье самой крутой ведьмой считалась та, которая не выдала себя.",0,,,RL,,
68,Застенчивый крестьянин всë никак,не мог раскрепоститься.,Застенчивый крестьянин всë никак не мог раскрепоститься.,1,RL,,RL,,
68,Застенчивый рабочий всё никак,не мог раскрепоститься.,Застенчивый рабочий всё никак не мог раскрепоститься.,0,,,RL,,
69,Эксперт по баллистике,зарабатывает чем попало.,Эксперт по баллистике зарабатывает чем попало.,1,RL,,RL,,
69,Эксперт по баллистике,зарабатывает чем угодно.,Эксперт по баллистике зарабатывает чем угодно.,0,,,RL,,
70,"Вратари очень умны,",они все схватывают на лету.,"Вратари очень умны, они все схватывают на лету.",1,RL,,RL,,
71,"Нападающие очень умны,",они все схватывают на лету.,"Нападающие очень умны, они все схватывают на лету.",0,,,RL,,
72,"Вратари очень умны,",они все ловят на лету.,"Вратари очень умны, они все ловят на лету.",0,,,RL,,
73,Ненавижу брокколи.,Такого и в рагу не пожелаешь.,Ненавижу брокколи. Такого и в рагу не пожелаешь.,1,RL,,RL,,
73,Ненавижу брокколи.,Такого и в салате не пожелаешь.,Ненавижу брокколи. Такого и в салате не пожелаешь.,0,,,RL,,
74,"Я прочесал все аптеки,",но так и не нашел средство от зуда.,"Я прочесал все аптеки, но так и не нашел средство от зуда.",1,RL, setup,RL, setup,
74,"Я прошерстил все аптеки,",но так и не нашел средство от кашля.,"Я прошерстил все аптеки, но так и не нашел средство от кашля.",0,,,RL, setup,
75,"Я обошёл все аптеки,",но так и не нашел средство от кашля.,"Я обошёл все аптеки, но так и не нашел средство от кашля.",0,,,RL,,
76,"Я прочесал все аптеки,",но так и не нашел средство от кашля.,"Я прочесал все аптеки, но так и не нашел средство от кашля.",0,,,RL,,
76,"Я прочесал все аптеки,",но так и не нашел средство от боли.,"Я прочесал все аптеки, но так и не нашел средство от боли.",0,,,RL,,
77,В инфекционном отделении больницы,кто-то заразительно смеялся.,В инфекционном отделении больницы кто-то заразительно смеялся.,1,RL,,RL,,
78,В акушерском отделении больницы,кто-то заразительно смеялся.,В акушерском отделении больницы кто-то заразительно смеялся.,0,,,RL,,
79,"Всегда восхищался физиками,",у них прекрасная физическая подготовка.,"Всегда восхищался физиками, у них прекрасная физическая подготовка.",1,RL,,RL,,
79,"Всегда восхищался филологами,",у них прекрасная физическая подготовка.,"Всегда восхищался филологами, у них прекрасная физическая подготовка.",0,,,RL,,
80,Почему шпагоглотатель не ест перец чили?,Потому что он не любит острое.,Почему шпагоглотатель не ест перец чили? Потому что он не любит острое.,1,C,,C,,
80,Почему фокусник не ест перец чили?,Потому что он не любит острое.,Почему фокусник не ест перец чили? Потому что он не любит острое.,0,,,C,,
81,Судно застряло на мелководье и торговцы не успели продать товар вовремя.,Теперь они на мели.,Судно застряло на мелководье и торговцы не успели продать товар вовремя. Теперь они на мели.,1,RL,,RL,,
81,Судно застряло на мелководье и торговцы не успели продать товар вовремя.,Теперь они без денег.,Судно застряло на мелководье и торговцы не успели продать товар вовремя. Теперь они без денег.,0,,,RL,,
82,Давно ищу хороший алкомаркет.,Не дадите наводку?,Давно ищу хороший алкомаркет. Не дадите наводку?,1,RL,,RL,,
82,Давно ищу хороший алкомаркет.,Не дадите подсказку?,Давно ищу хороший алкомаркет. Не дадите подсказку?,0,,,RL,,
83,Наелся мужик дрожжей с сахаром и ходит -,бродит.,Наелся мужик дрожжей с сахаром и ходит - бродит.,1,RL,,RL,,
